epoch,step,val_Dice_FG
4,349,0.00733716506510973
9,699,0.00998504925519228
14,1049,0.013863025233149529
19,1399,0.019011545926332474
24,1749,0.027577703818678856
29,2099,0.03936490789055824
34,2449,0.05691707879304886
39,2799,0.07936600595712662
44,3149,0.11361479014158249
49,3499,0.16028891503810883
