epoch,step,val_Dice_FG
4,349,0.07712726294994354
9,699,0.11386416852474213
14,1049,0.1407242864370346
19,1399,0.16448235511779785
24,1749,0.18493936955928802
29,2099,0.20240913331508636
34,2449,0.2196914702653885
39,2799,0.23682589828968048
44,3149,0.24829348921775818
49,3499,0.25464779138565063
54,3849,0.26577889919281006
59,4199,0.27167806029319763
64,4549,0.27453136444091797
69,4899,0.27971595525741577
74,5249,0.2812310457229614
79,5599,0.28770577907562256
84,5949,0.29124021530151367
89,6299,0.2938627600669861
94,6649,0.29493552446365356
99,6999,0.29673895239830017
