epoch,step,val_PSNR
4,349,18.863969802856445
9,699,18.9783878326416
14,1049,19.012266159057617
19,1399,19.303495407104492
24,1749,18.719873428344727
29,2099,18.683170318603516
34,2449,19.77815818786621
39,2799,19.187236785888672
44,3149,15.704023361206055
49,3499,18.110431671142578
