epoch,step,val_Dice_FG
4,349,0.06403498351573944
9,699,0.09296667575836182
14,1049,0.13016383349895477
19,1399,0.16396865248680115
24,1749,0.19203707575798035
29,2099,0.21585018932819366
34,2449,0.2321760207414627
39,2799,0.24282148480415344
44,3149,0.26049190759658813
49,3499,0.27230313420295715
54,3849,0.27738073468208313
59,4199,0.2787662446498871
64,4549,0.29236671328544617
69,4899,0.2967144250869751
74,5249,0.3001187741756439
79,5599,0.3032941222190857
84,5949,0.30515435338020325
89,6299,0.308831125497818
94,6649,0.3106396496295929
99,6999,0.3095538318157196
