epoch,step,val_PSNR
4,349,16.798437118530273
9,699,16.18229103088379
14,1049,18.254167556762695
19,1399,19.737499237060547
24,1749,20.071874618530273
29,2099,20.707292556762695
34,2449,20.778125762939453
39,2799,20.71666717529297
44,3149,21.16666603088379
49,3499,20.987499237060547
54,3849,21.21875
59,4199,21.410417556762695
64,4549,21.454166412353516
69,4899,21.462499618530273
74,5249,21.41979217529297
79,5599,21.47916603088379
84,5949,21.315624237060547
89,6299,21.555208206176758
94,6649,21.65104103088379
99,6999,21.608333587646484
104,7349,21.672916412353516
109,7699,21.46666717529297
114,8049,21.362499237060547
119,8399,21.797916412353516
124,8749,21.68229103088379
129,9099,21.660417556762695
134,9449,21.6875
139,9799,21.75520896911621
144,10149,21.81041717529297
149,10499,21.649999618530273
154,10849,21.829166412353516
159,11199,21.758333206176758
164,11549,21.78645896911621
169,11899,21.85729217529297
174,12249,21.823957443237305
179,12599,21.84895896911621
184,12949,21.64583396911621
189,13299,21.796875
194,13649,21.90833282470703
199,13999,21.77916717529297
