epoch,step,val_Dice_FG
4,349,0.19402562081813812
9,699,0.26582059264183044
14,1049,0.338569313287735
19,1399,0.39066874980926514
24,1749,0.4234451353549957
29,2099,0.47636181116104126
34,2449,0.5026184916496277
39,2799,0.5184863805770874
44,3149,0.5444148778915405
49,3499,0.5659525394439697
54,3849,0.5709782242774963
59,4199,0.5801694393157959
64,4549,0.5903913974761963
69,4899,0.5943577289581299
74,5249,0.596939206123352
79,5599,0.6094309091567993
84,5949,0.6072964072227478
89,6299,0.622909665107727
94,6649,0.6332948803901672
99,6999,0.6557279825210571
