epoch,step,val_Dice_FG
4,214,0.1285214126110077
9,429,0.14895999431610107
14,644,0.16166172921657562
19,859,0.18084898591041565
24,1074,0.21685585379600525
29,1289,0.2299918234348297
34,1504,0.24900008738040924
39,1719,0.2731235921382904
44,1934,0.2804607152938843
49,2149,0.2975228726863861
54,2364,0.3174842596054077
59,2579,0.3254939317703247
64,2794,0.30394411087036133
69,3009,0.32050707936286926
74,3224,0.31728804111480713
79,3439,0.3415936827659607
84,3654,0.32385626435279846
89,3869,0.3586549162864685
94,4084,0.3396355211734772
99,4299,0.3607586920261383
104,4514,0.37803488969802856
109,4729,0.3805187940597534
114,4944,0.3467431664466858
119,5159,0.3856301009654999
124,5374,0.3956746459007263
129,5589,0.37291187047958374
134,5804,0.3723711669445038
139,6019,0.422267347574234
144,6234,0.37737977504730225
149,6449,0.4038744866847992
154,6664,0.4074404835700989
159,6879,0.3902339041233063
164,7094,0.4261574149131775
169,7309,0.41803115606307983
174,7524,0.4159089922904968
179,7739,0.43515363335609436
184,7954,0.430486798286438
189,8169,0.42513352632522583
194,8384,0.44519996643066406
199,8599,0.4346963167190552
204,8814,0.4042730927467346
209,9029,0.4269845485687256
214,9244,0.38656020164489746
219,9459,0.43071281909942627
224,9674,0.41212815046310425
229,9889,0.4385306239128113
234,10104,0.4291606843471527
239,10319,0.3899766802787781
244,10534,0.40816032886505127
249,10749,0.4175727367401123
254,10964,0.45374569296836853
259,11179,0.4500292241573334
264,11394,0.41828376054763794
269,11609,0.4281303286552429
274,11824,0.3908533751964569
279,12039,0.41490837931632996
284,12254,0.4413779079914093
289,12469,0.4140263795852661
294,12684,0.41016772389411926
299,12899,0.4007265865802765
