epoch,step,val_Dice_FG
4,349,0.15328624844551086
9,699,0.21224504709243774
14,1049,0.27056974172592163
19,1399,0.32866981625556946
24,1749,0.38271254301071167
29,2099,0.4323345124721527
34,2449,0.47659263014793396
39,2799,0.5120110511779785
44,3149,0.5469176173210144
49,3499,0.5762883424758911
54,3849,0.5974193811416626
59,4199,0.6109744906425476
64,4549,0.6239195466041565
69,4899,0.6333983540534973
74,5249,0.6526299715042114
79,5599,0.6580730080604553
84,5949,0.6607792973518372
89,6299,0.672301709651947
94,6649,0.6808463335037231
99,6999,0.6848288178443909
