epoch,step,val_Dice_FG
4,349,0.16885069012641907
9,699,0.24098828434944153
14,1049,0.3085877001285553
19,1399,0.3609360158443451
24,1749,0.41045287251472473
29,2099,0.4550611078739166
34,2449,0.48718544840812683
39,2799,0.5132004022598267
44,3149,0.5370092988014221
49,3499,0.5541257262229919
54,3849,0.5364909768104553
59,4199,0.5809299945831299
64,4549,0.5893042087554932
69,4899,0.5968899130821228
74,5249,0.6009695529937744
79,5599,0.6062472462654114
84,5949,0.6133061647415161
89,6299,0.6270800232887268
94,6649,0.6422334313392639
99,6999,0.6591117978096008
